method
Dating app
Online (not dating app)
Mutual friends
Online (not dating app)
Mutual friends
Mutual friends
Other
Other












Mutual friends
Dating app
Other

Mutual friends
Mutual friends
Other
Other

Other

Mutual friends
Mutual friends
Other

Mutual friends
Mutual friends
Mutual friends
Other
Mutual friends
Other
Other
Other
Other
Mutual friends



Mutual friends
Mutual friends
Other

Dating app

Mutual friends
Mutual friends
Mutual friends
Other

Mutual friends

Other



Other

Mutual friends


Other

Mutual friends
Mutual friends


















Dating app
School


College



College


School



College
College

School



School




College

College
College
Friend
College






School






School



School



College




School
