Group,Tinder,Match,Bumble,OkCupid,eHarmony,Hinge,Grindr,HER,Other
All,46,31,28,21,19,19,6,3,31
Ages 18-29,79,9,51,18,7,39,9,6,15
Ages 30-49,44,34,24,15,21,14,6,1,36
Ages 50-64,17,54,9,15,34,3,6,1,43
Ages 65+,1,44,2,4,28,1,1,1,39
Straight,45,34,28,20,21,20,1,1,32
LGB,51,16,24,20,9,15,34,10,25
