"either_internet","relationship_quality_num","n","pct"
"No",0,19,0.707898658718331
"No",1,38,1.41579731743666
"No",2,220,8.19672131147541
"No",3,805,29.9925484351714
"No",4,1602,59.6870342771982
"Yes",0,1,0.32258064516129
"Yes",1,4,1.29032258064516
"Yes",2,31,10
"Yes",3,106,34.1935483870968
"Yes",4,168,54.1935483870968
